MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
X4640424	#33 -107 WESTRA DR, Guelph, Ontario 	West Willow Woods	43.5225213	-80.3089055	484000 	1600-1799 sqft	No Data	No Data	37 (Nov 22, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21357694/2-bedroom-condo-33-107-westra-dr-guelph-west-willow-woods	https://www.zolo.ca/guelph-real-estate/107-westra-drive/33	2019-12-30
30779272	102 -  1219 Gordon Street, Guelph, Ontario 	15 - Kortright West	43.516245	-80.203434	379900 	1135 sqft	No Data	2016	37 (Nov 22, 2019)	Condo	4	4	https://www.realtor.ca/real-estate/21356208/4-bedroom-condo-102-1219-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/1219-gordon-street/102	2019-12-30
X4639538	102 ERAMOSA RD, Guelph, Ontario 	Waverley	43.552581	-80.250297	2499888 	6817 sqft	$12,140 /yr	No Data	38 (Nov 21, 2019)	Single Family	6 + 2	8	https://www.realtor.ca/real-estate/21355129/6-2-bedroom-single-family-house-102-eramosa-rd-guelph-waverley	https://www.zolo.ca/guelph-real-estate/102-eramosa-road	2019-12-30
30779185	2216 Gordon Street, Guelph, Ontario 	-	43.490397	-80.174123	1499900 	-	-	-	-	Single Family	3	3	https://www.realtor.ca/real-estate/21354256/3-bedroom-single-family-house-2216-gordon-street-guelph	-	2019-12-30
30778539	109 COLLEGE Avenue W, Guelph, Ontario 	-	43.525916	-80.241276	799900 	No Data	No Data	1968	38 (Nov 21, 2019)	Single Family	4 + 2	3	https://www.realtor.ca/real-estate/21353920/4-2-bedroom-single-family-house-109-college-avenue-w-guelph	https://www.zolo.ca/guelph-real-estate/109-college-avenue-west	2019-12-30
30778902	318 -  1229 Victoria Road S, Guelph, Ontario 	-	43.513856	-80.171764	468527 	1113 sqft	No Data	2019	14 (Dec 16, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21353918/3-bedroom-condo-318-1229-victoria-road-s-guelph	https://www.zolo.ca/guelph-real-estate/1229-victoria-road-south/318	2019-12-30
30779141	102 ERAMOSA Road, Guelph, Ontario 	-	43.552522	-80.250292	2499888 	-	-	-	-	Single Family	5	9	https://www.realtor.ca/real-estate/21353624/5-bedroom-single-family-house-102-eramosa-road-guelph	-	2019-12-30
X4638797	19 ELGINFIELD DR, Guelph, Ontario 	Grange Hill East	43.5671543	-80.2414978	750000 	1500-2000 sqft	$4,890 /yr	51-99 years	39 (Nov 20, 2019)	Single Family	4	2	https://www.realtor.ca/real-estate/21351668/4-bedroom-single-family-house-19-elginfield-dr-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/19-elginfield-drive	2019-12-30
30772916	19 ELGINFIELD Drive, Guelph, Ontario 	-	43.566997	-80.241498	750000 	-	-	-	-	Single Family	4	2	https://www.realtor.ca/real-estate/21351363/4-bedroom-single-family-house-19-elginfield-drive-guelph	-	2019-12-30
30778915	507 -  93 WESTWOOD Road, Guelph, Ontario 	-	43.532107	-80.282084	359900 	No Data	No Data	No Data	39 (Nov 21, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21350963/3-bedroom-condo-507-93-westwood-road-guelph	https://www.zolo.ca/guelph-real-estate/93-westwood-road/507	2019-12-30
